9.785740,2.302585,0.834032
18.635007,4.700480,1.547665
20.767139,5.347108,1.676556
22.022025,5.736572,1.746862
22.911335,6.016157,1.794449
23.599510,6.234411,1.830084
24.160390,6.413459,1.858399
24.633481,6.565265,1.881793
25.042392,6.697034,1.901665
25.402350,6.813445,1.918898
25.723748,6.917706,1.934084
26.013993,7.012115,1.947639
26.278550,7.098376,1.959866
26.521565,7.177782,1.970990
26.746258,7.251345,1.981187
26.955177,7.319865,1.990592
27.150377,7.383989,1.999314
27.333536,7.444249,2.007442
27.506042,7.501082,2.015047
27.669057,7.554859,2.022191
27.823564,7.605890,2.028923
27.970400,7.654443,2.035286
28.110286,7.700748,2.041317
28.243846,7.745003,2.047048
28.371621,7.787382,2.052505
28.494090,7.828038,2.057712
28.611672,7.867106,2.062690
28.724739,7.904704,2.067458
28.833623,7.940940,2.072032
28.938620,7.975908,2.076426
29.039996,8.009695,2.080653
29.137991,8.042378,2.084725
29.232822,8.074026,2.088652
29.324684,8.104703,2.092445
29.413757,8.134468,2.096110
29.500204,8.163371,2.099657
29.584175,8.191463,2.103093
29.665806,8.218787,2.106423
29.745223,8.245384,2.109654
29.822542,8.271293,2.112791
29.897871,8.296547,2.115839
29.971308,8.321178,2.118804
30.042947,8.345218,2.121689
30.112871,8.368693,2.124498
30.181161,8.391630,2.127235
30.247891,8.414052,2.129903
30.313130,8.435983,2.132506
30.376943,8.457443,2.135047
30.439390,8.478452,2.137528
30.500528,8.499029,2.139952
30.560411,8.519191,2.142321
30.619088,8.538955,2.144639
30.676608,8.558335,2.146906
30.733014,8.577347,2.149125
30.788348,8.596004,2.151297
30.842651,8.614320,2.153426
30.895959,8.632306,2.155512
30.948308,8.649974,2.157556
30.999733,8.667336,2.159561
31.050264,8.684401,2.161528
31.099932,8.701180,2.163459
31.148766,8.717682,2.165353
31.196793,8.733916,2.167214
31.244040,8.749891,2.169041
31.290530,8.765615,2.170837
31.336288,8.781095,2.172601
31.381337,8.796339,2.174336
31.425697,8.811354,2.176041
31.469390,8.826147,2.177719
31.512435,8.840725,2.179369
31.554851,8.855093,2.180993
31.596655,8.869258,2.182591
31.637866,8.883224,2.184165
31.678499,8.896999,2.185714
31.718571,8.910586,2.187240
31.758097,8.923991,2.188743
31.797091,8.937218,2.190224
31.835567,8.950273,2.191684
31.873539,8.963160,2.193123
31.911020,8.975883,2.194541
31.948022,8.988446,2.195940
31.984558,9.000853,2.197319
32.020638,9.013108,2.198680
32.056274,9.025215,2.200022
32.091476,9.037177,2.201347
32.126256,9.048997,2.202654
32.160623,9.060680,2.203944
32.194586,9.072227,2.205218
32.228155,9.083643,2.206475
32.261339,9.094930,2.207717
32.294147,9.106090,2.208943
32.326587,9.117128,2.210155
32.358666,9.128045,2.211352
32.390394,9.138844,2.212534
32.421777,9.149528,2.213702
32.452823,9.160099,2.214857
32.483539,9.170560,2.215998
32.513932,9.180912,2.217126
32.544009,9.191158,2.218242
32.573775,9.201300,2.219345
